% Model:              SIMBench260525.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 17:42
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 319.093005567
0.0005 -0.0305 317.767137167
0.0005 -0.0295 316.441268766
0.0005 -0.0285 314.793675385
0.0005 -0.0275 313.287657369
0.0005 -0.0265 311.939725658
0.0005 -0.0255 311.244402758
0.0005 -0.0245 310.408434298
0.0005 -0.0235 309.805521396
0.0005 -0.0225 309.30047132
0.0005 -0.0215 308.700279924
0.0005 -0.0205 308.410522293
0.0005 -0.0195 308.060591684
0.0005 -0.0185 307.705606681
0.0005 -0.0175 307.509133277
0.0005 -0.0165 307.1839325
0.0005 -0.0155 306.858731722
0.0005 -0.0145 306.382643079
0.0005 -0.0135 305.723036585
0.0005 -0.0125 305.030585305
0.0005 -0.0115 303.486531066
0.0005 -0.0105 301.4573776
0.0005 -0.0095 299.644083302
0.0005 -0.0085 298.096274682
0.0005 -0.0075 296.533179652
0.0005 -0.0065 294.999448113
0.0005 -0.0055 294.98790598
0.0005 -0.0045 294.976363848
0.0005 -0.0035 294.115883686
0.0005 -0.0025 293.66206964
0.0005 -0.0015 293.235791668
0.0005 -0.0005 293.129235652
0.0005 0.0005 293.129642498
0.0005 0.0015 293.268610151
0.0005 0.0025 293.8025588
0.0005 0.0035 294.369958065
0.0005 0.0045 295.425055713
0.0005 0.0055 295.495605559
0.0005 0.0065 295.566155405
0.0005 0.0075 297.229072247
0.0005 0.0085 299.006079413
0.0005 0.0095 300.745890778
0.0005 0.0105 302.513564746
0.0005 0.0115 304.402740411
0.0005 0.0125 305.869028613
0.0005 0.0135 306.528319265
0.0005 0.0145 307.144904463
0.0005 0.0155 307.557528308
0.0005 0.0165 307.889139618
0.0005 0.0175 308.221070011
0.0005 0.0185 308.376238102
0.0005 0.0195 308.843170766
0.0005 0.0205 309.31010343
0.0005 0.0215 309.611787835
0.0005 0.0225 310.325391796
0.0005 0.0235 310.948395114
0.0005 0.0245 311.674000903
0.0005 0.0255 312.746988056
0.0005 0.0265 313.729195235
0.0005 0.0275 315.418810106
0.0005 0.0285 317.34848179
0.0005 0.0295 319.625253049
0.0005 0.0305 321.149255058
0.0005 0.0315 322.672423234
0.0015 -0.0315 318.354063312
0.0015 -0.0305 316.986850334
0.0015 -0.0295 315.456978842
0.0015 -0.0285 313.66474845
0.0015 -0.0275 312.116130035
0.0015 -0.0265 311.281529214
0.0015 -0.0255 310.761302597
0.0015 -0.0245 309.968380604
0.0015 -0.0235 309.700505088
0.0015 -0.0225 309.469655969
0.0015 -0.0215 308.939884636
0.0015 -0.0205 308.87774401
0.0015 -0.0195 308.713628817
0.0015 -0.0185 308.452092652
0.0015 -0.0175 308.352958984
0.0015 -0.0165 308.124208607
0.0015 -0.0155 307.781201624
0.0015 -0.0145 307.425714944
0.0015 -0.0135 306.829704965
0.0015 -0.0125 306.038435756
0.0015 -0.0115 305.213187475
0.0015 -0.0105 303.194645468
0.0015 -0.0095 301.704648016
0.0015 -0.0085 300.202622021
0.0015 -0.0075 298.648763135
0.0015 -0.0065 297.132549972
0.0015 -0.0055 296.222048561
0.0015 -0.0045 295.690333055
0.0015 -0.0035 294.387807966
0.0015 -0.0025 293.640608073
0.0015 -0.0015 293.342447354
0.0015 -0.0005 293.107768625
0.0015 0.0005 293.109035222
0.0015 0.0015 293.414978204
0.0015 0.0025 293.794873529
0.0015 0.0035 294.699920208
0.0015 0.0045 296.264698067
0.0015 0.0055 296.960166473
0.0015 0.0065 297.923511388
0.0015 0.0075 299.526229191
0.0015 0.0085 301.266334072
0.0015 0.0095 302.894017034
0.0015 0.0105 304.482340209
0.0015 0.0115 306.368033774
0.0015 0.0125 307.201310761
0.0015 0.0135 307.987766705
0.0015 0.0145 308.538416542
0.0015 0.0155 308.813783803
0.0015 0.0165 309.11081907
0.0015 0.0175 309.311261056
0.0015 0.0185 309.308925303
0.0015 0.0195 309.576323343
0.0015 0.0205 309.793122687
0.0015 0.0215 309.832393979
0.0015 0.0225 310.382708039
0.0015 0.0235 310.730926961
0.0015 0.0245 310.976615381
0.0015 0.0255 312.00021692
0.0015 0.0265 312.84717075
0.0015 0.0275 313.839028491
0.0015 0.0285 315.972026539
0.0015 0.0295 318.554805804
0.0015 0.0305 320.504572899
0.0015 0.0315 321.929945844
0.0025 -0.0315 317.61694256
0.0025 -0.0305 316.127613081
0.0025 -0.0295 314.435819031
0.0025 -0.0285 312.651615093
0.0025 -0.0275 311.143559386
0.0025 -0.0265 310.647739901
0.0025 -0.0255 310.202286316
0.0025 -0.0245 309.904222861
0.0025 -0.0235 309.726442831
0.0025 -0.0225 309.548662802
0.0025 -0.0215 309.543613358
0.0025 -0.0205 309.483519995
0.0025 -0.0195 309.423426632
0.0025 -0.0185 309.384314374
0.0025 -0.0175 309.284390445
0.0025 -0.0165 309.107553381
0.0025 -0.0155 308.743067492
0.0025 -0.0145 308.386508195
