grad_norm,lg_loss_scale,loss,mse,param_norm,samples,step,vb
4.128266950639763,20.0,1.0082746744155884,0.9981411695480347,138.89091519486163,32,0,0.010133551433682442
4.612016430457619,20.0055,3.1884499728679665,0.9449391126632691,138.89349017607657,352,10,2.2435106764547528
5.5928238334868094,20.01550000000002,0.804065614938736,0.786246919631958,138.901011374713,672,20,0.017818704340606926
4.838568078889036,20.02550000000003,0.6562247216701507,0.6424459815025328,138.9073279432187,992,30,0.013778757676482203
4.357969934981864,20.035500000000035,0.5126942843198776,0.5010405957698822,138.91241862538666,1312,40,0.011653697770088912
3.772778587753122,20.04550000000005,0.3933223158121109,0.38105156421661374,138.91793460101835,1632,50,0.01227074754424393
3.1049683900711895,20.05550000000007,0.29242330789566034,0.28542770743370055,138.92396903642552,1952,60,0.006995594268664718
2.470956530507104,20.065500000000082,0.2215589016675949,0.21430927366018296,138.93046924308922,2272,70,0.007249632361344994
1.9088841220849306,20.07550000000009,0.1769427940249443,0.17244847267866134,138.93701335379092,2592,80,0.004494324186816812
1.4729368271458456,20.085500000000103,0.14393938630819322,0.13785470575094225,138.94214842037346,2912,90,0.006084678129991517
1.2553250059189645,20.095500000000115,0.12657012343406676,0.12095659747719764,138.94761818592258,3232,100,0.00561352395452559
1.1056607465758825,20.105500000000127,0.10636135116219521,0.10400995388627053,138.9532032438081,3552,110,0.0023513948253821573
0.8168121458242705,20.115500000000136,0.15122119709849358,0.09434953853487969,138.9614002229945,3872,120,0.05687165477429517
0.7794222405490208,20.12550000000015,0.1621014080941677,0.0951731339097023,138.9738338031955,4192,130,0.06692827987717465
0.7829709775625531,20.135500000000167,0.17177995964884757,0.08513098582625388,138.9873003297528,4512,140,0.08664896899135784
0.7633120101499005,20.14550000000018,0.11909263655543327,0.08081591650843621,139.00209087170515,4832,150,0.038276713888626544
0.6672050581567529,20.15550000000019,0.07374691180884839,0.07196343019604683,139.01669484121925,5152,160,0.001783480134326965
1.0567316084791232,20.165500000000197,0.08137018494307995,0.07841034196317195,139.02868136514462,5472,170,0.0029598449589684603
0.7810695828665204,20.175500000000213,0.10570492148399353,0.06711787208914757,139.03994524633055,5792,180,0.03858704858866986
0.6242152852137896,20.18550000000022,0.059038615226745604,0.05794886499643326,139.0527143580859,6112,190,0.0010897508182097226
0.7745689789088231,20.195500000000234,0.06530536711215973,0.06149548143148422,139.0664789040412,6432,200,0.003809885215014219
0.7239800482980755,20.205500000000256,0.06795802861452103,0.06337076500058174,139.08104643518777,6752,210,0.004587262257700786
0.6093711904484006,20.21550000000026,0.07835731618106367,0.05641345344483852,139.0947820910348,7072,220,0.021943862317129963
0.5363658830623942,20.225500000000277,0.05165922902524471,0.05041639879345894,139.10832935221194,7392,230,0.0012428313406417145
0.689561674137499,20.235500000000286,0.061120686307549466,0.05639371313154698,139.1218551728135,7712,240,0.004726972698699683
0.6263917021169134,19.9452000000003,0.05357295572757721,0.051029514521360404,139.13337684577186,8032,250,0.002543442964088172
0.6383320181864766,19.25450000000031,0.05484193339943885,0.052075557783246046,139.14284823631547,8352,260,0.0027663752844091505
0.5547912664261129,19.26450000000032,0.07326144538819791,0.04783832877874374,139.1515516300613,8672,270,0.025423114272416565
0.5799629119614105,19.274500000000337,0.05253741182386875,0.048974619805812844,139.16020666823997,8992,280,0.003562792015145533
0.6752542036911648,19.284500000000342,0.04636227041482926,0.04551306217908859,139.1702359503025,9312,290,0.0008492092572851107
0.6498293000778101,19.294500000000358,0.045740602537989616,0.0439978513866663,139.17954845326148,9632,300,0.001742752009886317
0.734649471921069,19.304500000000374,0.04968287050724029,0.04692991338670254,139.18876218300144,9952,310,0.0027529548679012805
0.6829201650757782,19.314500000000383,0.048025231063365925,0.044747636467218396,139.19804807104248,10272,320,0.003277594968676567
0.5484957400122663,19.3245000000004,0.06962233912199735,0.03842459861189128,139.20819033558402,10592,330,0.031197741816868074
0.40077146352374987,19.33450000000041,0.04123772606253625,0.03994793221354485,139.21756749448957,10912,340,0.001289793581236154
0.6021486604880927,19.34450000000042,0.08584464192390441,0.045058374479413035,139.22756832754285,11232,350,0.0407862627209397
0.6355931621599913,19.35450000000043,0.0575449962168932,0.04026367086917162,139.23843388393297,11552,360,0.017281326538068242
0.7492394563993807,19.364500000000444,0.04380066711455584,0.041556325368583204,139.24982122477132,11872,370,0.0022443443391239274
0.8110265624452735,19.374500000000456,0.06259902268648147,0.042135227099061014,139.26031952448355,12192,380,0.02046379664097913
0.7483535610465699,19.384500000000468,0.07752317748963833,0.04516298510134221,139.26965346013276,12512,390,0.03236018855823204
0.7342695043989905,19.394500000000484,0.05037971790879964,0.043305289745330815,139.28036707186175,12832,400,0.007074427354382353
0.7820837378692879,19.404500000000496,0.07260948270559311,0.04786803722381591,139.28931050919016,13152,410,0.024741446500411254
0.6093062071942815,19.414500000000505,0.04012622945010662,0.038003142550587656,139.3000337532145,13472,420,0.002123086850042455
0.5236882132155048,19.42450000000052,0.0386784004047513,0.037154316902160645,139.31258107036322,13792,430,0.001524084004631732
0.5370900130171707,19.43450000000053,0.033908518590033056,0.03329218663275242,139.3221257171902,14112,440,0.0006163318525068461
0.47761695288757655,19.44450000000054,0.03341679163277149,0.032818794064223764,139.33048211038357,14432,450,0.0005979977970127948
0.5538812018378443,19.454500000000557,0.03916508108377457,0.036033567227423194,139.33816761907013,14752,460,0.003131513917469419
