% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 21 2026, 19:01
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 1.03605814119e-06
0.0005 -0.0305 2.14170833424e-06
0.0005 -0.0295 2.53146965929e-06
0.0005 -0.0285 3.03994228572e-06
0.0005 -0.0275 3.57526155062e-06
0.0005 -0.0265 4.2111099588e-06
0.0005 -0.0255 5.10560087091e-06
0.0005 -0.0245 7.25222337539e-06
0.0005 -0.0235 1.33764125473e-05
0.0005 -0.0225 3.07688543294e-05
0.0005 -0.0215 8.6889698542e-05
0.0005 -0.0205 0.000181477619133
0.0005 -0.0195 0.000252561280912
0.0005 -0.0185 0.000396120323801
0.0005 -0.0175 0.00141851396563
0.0005 -0.0165 0.00414040198788
0.0005 -0.0155 0.0100479475886
0.0005 -0.0145 0.0129766687831
0.0005 -0.0135 0.0106495848525
0.0005 -0.0125 0.00854673346682
0.0005 -0.0115 0.00670800156049
0.0005 -0.0105 0.00526209700665
0.0005 -0.0095 0.00414582864106
0.0005 -0.0085 0.00330142072108
0.0005 -0.0075 0.00295687115439
0.0005 -0.0065 0.00384554066797
0.0005 -0.0055 0.00618644892299
0.0005 -0.0045 0.00955485440495
0.0005 -0.0035 0.0136718819395
0.0005 -0.0025 0.0176616065526
0.0005 -0.0015 0.0210263291608
0.0005 -0.0005 0.0157641723443
0.0005 0.0005 0.00678852145083
0.0005 0.0015 0.00328335405608
0.0005 0.0025 0.00202838365154
0.0005 0.0035 0.00200620686157
0.0005 0.0045 0.00244509794513
0.0005 0.0055 0.00299250449063
0.0005 0.0065 0.00347530639378
0.0005 0.0075 0.00375555653862
0.0005 0.0085 0.00373287921503
0.0005 0.0095 0.00337823309376
0.0005 0.0105 0.00274924335099
0.0005 0.0115 0.00197402451179
0.0005 0.0125 0.00122619045478
0.0005 0.0135 0.000667191102475
0.0005 0.0145 0.000382634016341
0.0005 0.0155 0.000332346036477
0.0005 0.0165 0.000337518450368
0.0005 0.0175 0.000275186775893
0.0005 0.0185 0.000146472999927
0.0005 0.0195 5.30317236954e-05
0.0005 0.0205 2.35640655806e-05
0.0005 0.0215 1.47999123124e-05
0.0005 0.0225 1.19372891831e-05
0.0005 0.0235 1.05523098082e-05
0.0005 0.0245 9.80981560646e-06
0.0005 0.0255 9.24379792155e-06
0.0005 0.0265 8.68972215332e-06
0.0005 0.0275 8.08747793371e-06
0.0005 0.0285 7.5420070657e-06
0.0005 0.0295 6.78943292267e-06
0.0005 0.0305 6.1553876123e-06
0.0005 0.0315 3.08922599478e-06
0.0015 -0.0315 2.05724005239e-06
0.0015 -0.0305 4.13611492492e-06
0.0015 -0.0295 4.61756073032e-06
0.0015 -0.0285 5.26503066426e-06
0.0015 -0.0275 5.99455722891e-06
0.0015 -0.0265 7.11644027254e-06
0.0015 -0.0255 9.24945172734e-06
0.0015 -0.0245 1.44677342458e-05
0.0015 -0.0235 2.88239002569e-05
0.0015 -0.0225 6.9008028655e-05
0.0015 -0.0215 0.000195245523054
0.0015 -0.0205 0.00045020670941
0.0015 -0.0195 0.000944133927954
0.0015 -0.0185 0.00236436793483
0.0015 -0.0175 0.00572310640611
0.0015 -0.0165 0.0107385116628
0.0015 -0.0155 0.0142280146291
0.0015 -0.0145 0.0134466420152
0.0015 -0.0135 0.0106560982668
0.0015 -0.0125 0.0082712020489
0.0015 -0.0115 0.00627034616182
0.0015 -0.0105 0.00472091967732
0.0015 -0.0095 0.00357767826081
0.0015 -0.0085 0.00271893636979
0.0015 -0.0075 0.00211477245186
0.0015 -0.0065 0.00244959243793
0.0015 -0.0055 0.00443634680392
0.0015 -0.0045 0.00761943919751
0.0015 -0.0035 0.0116487790502
0.0015 -0.0025 0.0160105945383
0.0015 -0.0015 0.0201828721042
0.0015 -0.0005 0.0210869720346
0.0015 0.0005 0.0170639314988
0.0015 0.0015 0.0123145661354
0.0015 0.0025 0.00993828065643
0.0015 0.0035 0.0094629733038
0.0015 0.0045 0.00993737747812
0.0015 0.0055 0.0107031733839
