% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 19 2026, 05:56
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 1.368203773e-06
0.0005 -0.0305 2.71680782058e-06
0.0005 -0.0295 2.92821312037e-06
0.0005 -0.0285 3.25412240292e-06
0.0005 -0.0275 3.49037345823e-06
0.0005 -0.0265 3.64453240277e-06
0.0005 -0.0255 3.77581615992e-06
0.0005 -0.0245 3.87469779041e-06
0.0005 -0.0235 3.9477717944e-06
0.0005 -0.0225 3.9982548637e-06
0.0005 -0.0215 4.02459176147e-06
0.0005 -0.0205 4.07913453385e-06
0.0005 -0.0195 4.12375598522e-06
0.0005 -0.0185 4.5073334142e-06
0.0005 -0.0175 6.38398351942e-06
0.0005 -0.0165 1.20824119022e-05
0.0005 -0.0155 2.81811017837e-05
0.0005 -0.0145 7.25668726199e-05
0.0005 -0.0135 0.000118795421723
0.0005 -0.0125 0.000166048363822
0.0005 -0.0115 0.000591044763989
0.0005 -0.0105 0.000765183307397
0.0005 -0.0095 0.0200899743008
0.0005 -0.0085 0.0475155628649
0.0005 -0.0075 0.0537630800769
0.0005 -0.0065 0.0284264339981
0.0005 -0.0055 0.00329031073241
0.0005 -0.0045 0.00323119027259
0.0005 -0.0035 0.00373920417974
0.0005 -0.0025 0.00307755690527
0.0005 -0.0015 0.00178748029666
0.0005 -0.0005 0.00160764153604
0.0005 0.0005 0.00228393787195
0.0005 0.0015 0.00271974295973
0.0005 0.0025 0.0025318231374
0.0005 0.0035 0.00184657993333
0.0005 0.0045 0.00110831270188
0.0005 0.0055 0.000584028548658
0.0005 0.0065 0.000251905246273
0.0005 0.0075 8.63027975529e-05
0.0005 0.0085 3.25482003571e-05
0.0005 0.0095 1.45491769551e-05
0.0005 0.0105 8.86161560415e-06
0.0005 0.0115 6.86504024621e-06
0.0005 0.0125 5.78067687639e-06
0.0005 0.0135 5.19142897746e-06
0.0005 0.0145 4.86400632659e-06
0.0005 0.0155 4.66452122977e-06
0.0005 0.0165 4.513810566e-06
0.0005 0.0175 4.37240870965e-06
0.0005 0.0185 4.22815009782e-06
0.0005 0.0195 4.08171723265e-06
0.0005 0.0205 3.93901072508e-06
0.0005 0.0215 3.8043004418e-06
0.0005 0.0225 3.67980510137e-06
0.0005 0.0235 3.56414068126e-06
0.0005 0.0245 3.45348450247e-06
0.0005 0.0255 3.34226341651e-06
0.0005 0.0265 3.22422844665e-06
0.0005 0.0275 3.08337271286e-06
0.0005 0.0285 2.91834081502e-06
0.0005 0.0295 2.62342580486e-06
0.0005 0.0305 2.33209892468e-06
0.0005 0.0315 1.14995364481e-06
0.0015 -0.0315 2.68214682819e-06
0.0015 -0.0305 5.32825273252e-06
0.0015 -0.0295 5.67476994778e-06
0.0015 -0.0285 6.05355750899e-06
0.0015 -0.0275 6.22899804685e-06
0.0015 -0.0265 6.32598031903e-06
0.0015 -0.0255 6.40369104504e-06
0.0015 -0.0245 6.46664413322e-06
0.0015 -0.0235 6.5214705987e-06
0.0015 -0.0225 6.576434777e-06
0.0015 -0.0215 6.64719048921e-06
0.0015 -0.0205 6.81416469074e-06
0.0015 -0.0195 7.15058267004e-06
0.0015 -0.0185 8.30708700265e-06
0.0015 -0.0175 1.21651607356e-05
0.0015 -0.0165 2.27829517529e-05
0.0015 -0.0155 5.08563088361e-05
0.0015 -0.0145 0.00012377682671
0.0015 -0.0135 0.000229298267912
0.0015 -0.0125 0.000525989833847
0.0015 -0.0115 0.00143311105178
0.0015 -0.0105 0.00143894202393
0.0015 -0.0095 0.01965454968
0.0015 -0.0085 0.0449682751459
0.0015 -0.0075 0.0528478833151
0.0015 -0.0065 0.0336280279721
0.0015 -0.0055 0.00874550940816
0.0015 -0.0045 0.00482155595335
0.0015 -0.0035 0.00413327079051
0.0015 -0.0025 0.00328717004495
0.0015 -0.0015 0.00570434428423
0.0015 -0.0005 0.0078837389687
0.0015 0.0005 0.00897017572031
0.0015 0.0015 0.00905214353368
0.0015 0.0025 0.0079451251542
0.0015 0.0035 0.00572050792571
0.0015 0.0045 0.00317296304872
0.0015 0.0055 0.00137689368707
0.0015 0.0065 0.000513187979603
0.0015 0.0075 0.000166415571849
0.0015 0.0085 6.5299253017e-05
0.0015 0.0095 2.98961343543e-05
0.0015 0.0105 1.71704406662e-05
0.0015 0.0115 1.21993744234e-05
0.0015 0.0125 9.79187127536e-06
0.0015 0.0135 8.59728508583e-06
0.0015 0.0145 7.99329204993e-06
0.0015 0.0155 7.6425974934e-06
0.0015 0.0165 7.37411162816e-06
0.0015 0.0175 7.11578202537e-06
0.0015 0.0185 6.85205816761e-06
0.0015 0.0195 6.59166107556e-06
0.0015 0.0205 6.34956483423e-06
0.0015 0.0215 6.13624846703e-06
0.0015 0.0225 5.95634568225e-06
0.0015 0.0235 5.80813711145e-06
0.0015 0.0245 5.68611120857e-06
0.0015 0.0255 5.5824861603e-06
0.0015 0.0265 5.48966637202e-06
0.0015 0.0275 5.38573780526e-06
0.0015 0.0285 5.26655582201e-06
0.0015 0.0295 4.92584194616e-06
0.0015 0.0305 4.53743071522e-06
0.0015 0.0315 2.26405687852e-06
0.0025 -0.0315 2.7570537333e-06
0.0025 -0.0305 5.47450165277e-06
0.0025 -0.0295 5.88343266844e-06
0.0025 -0.0285 6.1631586776e-06
0.0025 -0.0275 6.07907639424e-06
0.0025 -0.0265 5.93646827342e-06
0.0025 -0.0255 5.77945032775e-06
0.0025 -0.0245 5.65552495578e-06
0.0025 -0.0235 5.58022971029e-06
0.0025 -0.0225 5.57301206616e-06
0.0025 -0.0215 5.67248091921e-06
0.0025 -0.0205 5.95844713466e-06
0.0025 -0.0195 6.68274225488e-06
0.0025 -0.0185 8.53683235405e-06
0.0025 -0.0175 1.31193295124e-05
0.0025 -0.0165 2.37552849395e-05
0.0025 -0.0155 4.82988527896e-05
0.0025 -0.0145 0.00011567556437
0.0025 -0.0135 0.000310540082003
0.0025 -0.0125 0.000952085021929
0.0025 -0.0115 0.00201554651561
0.0025 -0.0105 0.00144629802125
0.0025 -0.0095 0.0184814769006
0.0025 -0.0085 0.0417261160113
0.0025 -0.0075 0.0505885042011
0.0025 -0.0065 0.0370689982347
0.0025 -0.0055 0.0147443657022
0.0025 -0.0045 0.00341984552768
0.0025 -0.0035 0.00601561176642
0.0025 -0.0025 0.0120222116309
0.0025 -0.0015 0.0155867312441
0.0025 -0.0005 0.016415078097
0.0025 0.0005 0.0157296459808
0.0025 0.0015 0.0144759029527
0.0025 0.0025 0.0127902610033
0.0025 0.0035 0.0101089995267
0.0025 0.0045 0.0062146076205
0.0025 0.0055 0.00258583933146
0.0025 0.0065 0.000763073940265
0.0025 0.0075 0.0002338218587
0.0025 0.0085 9.45151308202e-05
0.0025 0.0095 4.37491750145e-05
0.0025 0.0105 2.32003474731e-05
0.0025 0.0115 1.39182243513e-05
0.0025 0.0125 9.78238360636e-06
0.0025 0.0135 7.96962013958e-06
0.0025 0.0145 7.15080196466e-06
0.0025 0.0155 6.70979455163e-06
0.0025 0.0165 6.37972344505e-06
0.0025 0.0175 6.06931759376e-06
0.0025 0.0185 5.7672042817e-06
0.0025 0.0195 5.48953169821e-06
0.0025 0.0205 5.25524379944e-06
0.0025 0.0215 5.07712088394e-06
0.0025 0.0225 4.95976725411e-06
0.0025 0.0235 4.90110458272e-06
0.0025 0.0245 4.89511023746e-06
0.0025 0.0255 4.93273416287e-06
0.0025 0.0265 5.00421767138e-06
0.0025 0.0275 5.07982126885e-06
0.0025 0.0285 5.13053269041e-06
0.0025 0.0295 4.90462909694e-06
0.0025 0.0305 4.66187790258e-06
0.0025 0.0315 2.38411015823e-06
0.0035 -0.0315 2.85548101133e-06
0.0035 -0.0305 5.60226624953e-06
0.0035 -0.0295 6.13007830833e-06
0.0035 -0.0285 6.67336984779e-06
0.0035 -0.0275 6.72608100442e-06
0.0035 -0.0265 6.62097579146e-06
0.0035 -0.0255 6.45504146035e-06
0.0035 -0.0245 6.30887792149e-06
0.0035 -0.0235 6.2210923117e-06
0.0035 -0.0225 6.22232786828e-06
0.0035 -0.0215 6.35726860716e-06
0.0035 -0.0205 6.74202739756e-06
0.0035 -0.0195 7.70433751616e-06
0.0035 -0.0185 1.01063662799e-05
0.0035 -0.0175 1.58569531934e-05
