% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 19 2026, 22:00
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.14779814225e-06
0.0005 -0.0305 6.29408991635e-06
0.0005 -0.0295 7.0678663639e-06
0.0005 -0.0285 7.96500665095e-06
0.0005 -0.0275 8.55594627083e-06
0.0005 -0.0265 9.20550554193e-06
0.0005 -0.0255 9.87369548992e-06
0.0005 -0.0245 1.06335907527e-05
0.0005 -0.0235 1.15120500044e-05
0.0005 -0.0225 1.25508290696e-05
0.0005 -0.0215 1.39001724548e-05
0.0005 -0.0205 1.62319009154e-05
0.0005 -0.0195 2.04940811112e-05
0.0005 -0.0185 3.42434382067e-05
0.0005 -0.0175 8.11568060756e-05
0.0005 -0.0165 0.000233578629352
0.0005 -0.0155 0.000461933130022
0.0005 -0.0145 0.000591524952388
0.0005 -0.0135 0.000632069527285
0.0005 -0.0125 0.00118788180071
0.0005 -0.0115 0.00274485045494
0.0005 -0.0105 0.00487728051186
0.0005 -0.0095 0.00682611755115
0.0005 -0.0085 0.00787504790507
0.0005 -0.0075 0.00775413366873
0.0005 -0.0065 0.00665938307634
0.0005 -0.0055 0.00483143935133
0.0005 -0.0045 0.00227780757717
0.0005 -0.0035 0.00149146398199
0.0005 -0.0025 0.00353825215401
0.0005 -0.0015 0.0410587970156
0.0005 -0.0005 0.080241555244
0.0005 0.0005 0.0814358016665
0.0005 0.0015 0.0425561917064
0.0005 0.0025 0.00449826568368
0.0005 0.0035 0.00487036516628
0.0005 0.0045 0.00411898490147
0.0005 0.0055 0.00210252215079
0.0005 0.0065 0.002955812774
0.0005 0.0075 0.00512414110295
0.0005 0.0085 0.00679913420989
0.0005 0.0095 0.00780185170187
0.0005 0.0105 0.00783669465824
0.0005 0.0115 0.00675244142806
0.0005 0.0125 0.0048417848671
0.0005 0.0135 0.00275345595487
0.0005 0.0145 0.0011635033197
0.0005 0.0155 0.000507629517576
0.0005 0.0165 0.000422712734416
0.0005 0.0175 0.000311836784372
0.0005 0.0185 0.000147318468552
0.0005 0.0195 4.89474021139e-05
0.0005 0.0205 1.99402065108e-05
0.0005 0.0215 1.10256009488e-05
0.0005 0.0225 8.07952558079e-06
0.0005 0.0235 6.69561410155e-06
0.0005 0.0245 5.92611050465e-06
0.0005 0.0255 5.46074324353e-06
0.0005 0.0265 5.13153997964e-06
0.0005 0.0275 4.83687481184e-06
0.0005 0.0285 4.55893866103e-06
0.0005 0.0295 4.07066615985e-06
0.0005 0.0305 3.61918275737e-06
0.0005 0.0315 1.80799432472e-06
0.0015 -0.0315 6.10413062158e-06
0.0015 -0.0305 1.19815008002e-05
0.0015 -0.0295 1.27843214042e-05
0.0015 -0.0285 1.3766239686e-05
0.0015 -0.0275 1.43152226655e-05
0.0015 -0.0265 1.50293952721e-05
0.0015 -0.0255 1.58884387213e-05
0.0015 -0.0245 1.69951528103e-05
0.0015 -0.0235 1.83996618582e-05
